id,exercise_name,videoURL,steps,Category,Difficulty,Force,Grips,target,youtubeURL,details,Aka
164,Barbell Forward Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-forward-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-forward-lunge-side.mp4#t=0.1']","['Stand with your feet shoulder-width apart and hold a barbell at your shoulders with an overhand grip.', 'Step forward with your right foot and bend both knees to lower your body until your right thigh is parallel to the ground.', 'Push off your right foot to return to the starting position.']",Barbell,Advanced,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/Y9zHge5sRj4,,
165,Barbell Front Rack Step Up,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-front-rack-step-up-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-front-rack-step-up-side.mp4#t=0.1']","['Stand in front of a step or bench with your feet shoulder-width apart and hold a barbell at your shoulders with an overhand grip.', 'Step up onto the bench with your right foot, pushing off your foot to raise your body up onto the bench.', 'Bring your left foot up onto the bench and stand up straight, keeping the barbell at your shoulders.', 'Step back down with your left foot, followed by your right foot, to return to the starting position.']",Barbell,Advanced,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/c-Cc-LDrpL4,,
166,Barbell Heels Up Back Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-back-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-back-squat-side.mp4#t=0.1']","['Stand with your feet shoulder-width apart and your heels on a plate or low step.', 'Bend your knees and lower your body into a squat position.', 'Push through your heels to return to the starting position.']",Barbell,Advanced,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
167,Barbell Heels Up Front Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-front-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-heels-up-front-squat-side.mp4#t=0.1']","['Stand with your feet shoulder-width apart and feet on a plate. Place the bar in a front rack position.', 'Bend your knees and lower your body into a squat position, keeping your heels raised off the ground.', 'Push through your heels to return to the starting position.']",Barbell,Advanced,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
168,Barbell Lateral Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-lateral-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-lateral-lunge-side.mp4#t=0.1']","['Stand with your feet shoulder-width apart and hold a barbell at your shoulders with an overhand grip.', 'Step out to the side with your right foot and bend your right knee to lower your body until your right thigh is parallel to the ground.', 'Push off your right foot to return to the starting position.', 'Repeat on the opposite side by stepping out with your left foot.']",Barbell,Advanced,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
169,Barbell Pause Box Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pause-box-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pause-box-squat-side.mp4#t=0.1']","['Stand in front of a box or bench with your feet shoulder-width apart and a barbell resting on your upper back.', 'Lower your body into a squat position, sitting back onto the box and pausing for a moment before standing back up.', 'Push through your heels to return to the standing position.']",Barbell,Advanced,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Lower back']}",,,
170,Barbell Pause Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pause-box-squat-front_GEhqEjs.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-pause-box-squat-side_2PFhPFu.mp4#t=0.1']","['Stand with your feet shoulder-width apart and a barbell resting on your upper back.', 'Lower your body into a squat position, pausing for a moment at the bottom of the movement before standing back up.', 'Push through your heels to return to the standing position.']",Barbell,Intermediate,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Lower back']}",,,
171,Barbell Reverse Deadlift,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-deadlift-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-deadlift-side.mp4#t=0.1']","['Start by standing with your feet about hip-width apart, with your toes pointed slightly outward.', 'Place a barbell on the floor behind you, with the weight plates on either side.', 'Bend down and grab the barbell with an overhand grip, your hands slightly wider than shoulder-width apart. Keep your back straight and your shoulders down as you grip the bar.', 'Stand up straight, lifting the barbell off the ground and pulling it toward your hips. Keep your elbows close to your body and your shoulders down as you do this.']",Barbell,Advanced,Push,Overhand Underhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Lower back']}",,,
172,Barbell Reverse Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-lunge-side.mp4#t=0.1']","['Start by standing with your feet about hip-width apart, with a barbell on your shoulders. Your feet should be slightly pointed outward, and your shoulders should be down and relaxed.', 'Step backward with one foot, lowering your body until your front thigh is parallel to the ground and your back knee is hovering just above the ground.', 'Push off your back foot, returning to the starting position.']",Barbell,Intermediate,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
173,Bodyweight Reverse Step Up,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-reverse-step-up-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-reverse-step-up-side.mp4#t=0.1']","['Start with a box or bench behind you and one of your feet on the box/bench.', 'The balls of your feet should be planted on the box/bench.', ""Drive through the ball of your foot extending your knees until you're upright and standing on the box.""]",Bodyweight,Advanced,Push,None,{'Primary': ['Quads']},,,
174,Barbell Side Step Up,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-side-step-up-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-side-step-up-side.mp4#t=0.1']","['Start by standing with your feet about hip-width apart, with a barbell on your shoulders. Your feet should be slightly pointed outward, and your shoulders should be down and relaxed.', 'Place a step or box beside you, and step up onto it with one foot. Your other foot should remain on the ground.', 'Push off your grounded foot, raising your body up onto the step.', 'Step back down with the same foot, returning to the starting position.']",Barbell,Intermediate,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/c-Cc-LDrpL4,,
175,Barbell Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-split-squat-side.mp4#t=0.1']","['Take a large step forward with one leg, and lower your body until your back knee nearly touches the ground. Your front knee should be bent at a 90-degree angle, and your back leg should be straight.', 'Push through the heel of your front foot to raise your body back to the starting position.']",Barbell,Intermediate,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
176,Barbell Step Up Balance,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-step-up-balance-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-step-up-balance-side.mp4#t=0.1']","['Begin by standing in front of a sturdy box or bench that is about knee-height, holding a barbell across your upper back and shoulders, using an overhand grip.', 'Place your right foot on the box and push through the heel to lift your body up and onto the box, keeping your left foot off the ground.', 'Step back down with your right foot, lowering your left foot to the ground.']",Barbell,Intermediate,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/c-Cc-LDrpL4,,
177,Barbell Step Up,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-step-up-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-step-up-side.mp4#t=0.1']","['Begin by standing in front of a sturdy box or bench that is about knee-height, holding a barbell across your upper back and shoulders, using an overhand grip.', 'Place your right foot on the box and push through the heel to lift your body up and onto the box.', 'Step back down with your right foot.']",Barbell,Beginner,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/c-Cc-LDrpL4,,
178,Barbell Tap Pause Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-tap-box-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-tap-box-squat-side.mp4#t=0.1']","['Begin by standing in front of a sturdy box or bench that is about knee-height, holding a barbell across your upper back and shoulders, using an overhand grip.', 'Sit back and lower your body down until your glutes tap the top of the box, keeping your back straight and your core engaged.', 'Push through your heels to extend your hips and stand up, bringing your body back to the starting position.']",Barbell,Intermediate,Push,Overhand,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
179,Barbell Zercher Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-zercher-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-zercher-squat-side.mp4#t=0.1']","['Begin by standing with your feet about hip-width apart and holding a barbell in the crook of your arms, near your belly. Your palms should be facing towards your body.', 'Sit back and lower your body down until your thighs are parallel to the ground, keeping your back straight and your core engaged.', 'Push through your heels to extend your hips and stand back up to the starting position.']",Barbell,Advanced,Push,,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Lower back']}",,,
180,Assisted Bulgarian Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-assisted-bulgarian-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-assisted-bulgarian-split-squat-side.mp4#t=0.1']","['Grab a stick of some sort or hold onto something stable (rack, bench).', 'Grab a box that is knee height or slightly lower.', 'Hold the stick in your right arm and put your right leg on the box.', 'Begin your squat by breaking at the knees. Get your knee close to the floor or all the way to the floor. Make sure to keep your chest tall.']",Bodyweight,Beginner,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
181,Bulgarian Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-bulgarian-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-bulgarian-split-squat-side.mp4#t=0.1']","['Stand with your back to a bench (or raised surface) and place one of your feet on the bench.', 'Squat down until your front leg is about parallel to the floor.', 'Go back to the starting position. After completing the desired amount of reps, switch legs and repeat.']",Bodyweight,Beginner,,,{'Primary': ['Quads']},,,
182,Curtsy Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-curtsy-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-curtsy-lunge-side.mp4#t=0.1']","['Step your left foot diagonally behind your right leg, crossing it behind your body. Bend your knees and lower your hips until your left thigh is parallel to the floor and your right knee is hovering just above the ground.', 'Push through your right foot to straighten your legs and return to the starting position.', 'Repeat the movement with your other leg.']",Bodyweight,Intermediate,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
183,Forward Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-forward-lunge-front_zb4K50d.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-forward-lunge-side_4k0dfH0.mp4#t=0.1']","['Step forward with one leg and lower your body until your front thigh is parallel to the floor and your back knee almost touches the ground. Keep your chest up and your front foot flat on the floor.', 'Push through your front foot to straighten your legs and return to the starting position.', 'Repeat the movement with your other leg.']",Bodyweight,Beginner,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/Y9zHge5sRj4,,
184,Heels Up Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-heels-up-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-heels-up-squat-side.mp4#t=0.1']","['Place your heels on a plate or very low step.', 'Keep your chest tall and initiate the squat by pushing your hips back and breaking at the knees.', 'You should notice yourself able to squat lower than normal.']",Bodyweight,Intermediate,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
185,Lateral Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-lateral-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-lateral-lunge-side.mp4#t=0.1']","['Engage your core by drawing your belly button towards your spine. This will help to stabilize your body.', 'Take a large step to the side with your right foot, planting it firmly on the ground.', 'As you step, bend your right knee and lower your hips until your right thigh is parallel to the ground. Your left leg should remain straight.', 'Push through your right heel to return to the starting position. Repeat on the opposite side by stepping out with your left foot.']",Bodyweight,Intermediate,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
186,Bodyweight Reverse Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-reverse-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-reverse-lunge-side.mp4#t=0.1']","['Push through your right heel to return to standing, bringing your left leg back to starting position.', 'Repeat the movement on the other side, stepping backwards with your right leg and lowering your body until your right thigh is parallel to the ground and your left knee is bent at a 90-degree angle.', 'Take a big step backwards with your left leg, lowering your body until your left thigh is parallel to the ground and your right knee is bent at a 90-degree angle.']",Bodyweight,Beginner,Push,None,"{'Primary': ['Quads', 'Hamstrings'], 'Secondary': ['Glutes']}",,,
187,Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-split-squat-side.mp4#t=0.1']","['Take a split stance. Make sure to keep your chest tall.', 'Bring your rear knee to the floor or close to it.', 'Drive through your front heel and your rear foot back to the starting position.']",Bodyweight,Beginner,Push,None,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
188,Dumbbell Bulgarian Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-bulgarian-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-bulgarian-split-squat-side.mp4#t=0.1']","['Find a box or bench that is roughly knee height or a few inches lower. (The lower the box is the lower the mobility requirement).', 'You can either place your toes or the top of your foot on the box. Point your front foot forward or slightly turned outwards and break at the knees and hips simultaneously.', 'Aim to get your front leg to hit parallel depth (hamstring parallel with the ground) or lower.', 'The further forward your front foot is, the longer the Range of Motion is at your hips. The further back your front foot is, the longer the ROM at your knees.']",Dumbbells,Advanced,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
189,Dumbbell Forward Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-forward-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-forward-lunge-side.mp4#t=0.1']","['Stand with your feet hip-width apart and hold a dumbbell in each hand with your palms facing each other.', 'Take a big step forward with your right foot, lowering your hips until your right thigh is parallel to the ground and your left knee is hovering just above the floor.', 'Push through your right heel to straighten your right leg and return to the starting position.']",Dumbbells,Intermediate,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/Y9zHge5sRj4,,
190,Dumbbell Goblet Bulgarian Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-bulgarian-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-bulgarian-split-squat-side.mp4#t=0.1']","['Holding the dumbbell in a goblet squat place your foot on a bench or box.', 'Break at the hips and knees. Try to go to the point where your hamstring is parallel with the ground. Or until your back knee taps the floor.', 'Make sure to keep your back flat and your elbows directly under your fists.']",Dumbbells,Advanced,,,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
191,Dumbbell Goblet Curtsy Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-curtsy-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-curtsy-lunge-side.mp4#t=0.1']","['Stand with your feet hip-width apart and a dumbbell in a goblet position.', 'Step your left foot behind and to the right of your right foot, crossing it behind your right leg.', 'Bend your knees and lower your hips down and back, as if you were about to sit in a chair.', 'Push through your right heel to straighten your right leg and return to the starting position.']",Dumbbells,Advanced,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
192,Dumbbell Goblet Forward Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-forward-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-forward-lunge-side.mp4#t=0.1']","['Hold a dumbbell in a goblet position.', 'Step forward with one of your legs while bending at your back leg. Bring your back knee to the floor or close to the floor.', 'Push through your front leg explosively to get back to your starting position.']",Dumbbells,Intermediate,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",https://www.youtube.com/embed/Y9zHge5sRj4,,
193,Dumbbell Goblet Lateral Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-lateral-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-lateral-lunge-side.mp4#t=0.1']","['Engage your core by drawing your belly button towards your spine. This will help to stabilize your body. Hold a dumbbell in a goblet position.', 'Take a large step to the side with your right foot, planting it firmly on the ground.', 'As you step, bend your right knee and lower your hips until your right thigh is parallel to the ground. Your left leg should remain straight.', 'Push through your right heel to return to the starting position. Repeat on the opposite side by stepping out with your left foot.']",Dumbbells,Advanced,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
194,Dumbbell Goblet Reverse Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-reverse-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-reverse-lunge-side.mp4#t=0.1']","['Hold a dumbbell in a goblet position.', 'Take a big step backwards with your left leg, lowering your body until your left thigh is parallel to the ground and your right knee is bent at a 90-degree angle.', 'Push through your right heel to return to standing, bringing your left leg back to starting position.', 'Repeat the movement on the other side, stepping backwards with your right leg and lowering your body until your right thigh is parallel to the ground and your left knee is bent at a 90-degree angle.']",Dumbbells,Beginner,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
195,Dumbbell Goblet Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-split-squat-side.mp4#t=0.1']","['Hold a dumbbell in a goblet position.', 'Take a large step forward with one leg, and lower your body until your back knee nearly touches the ground. Your front knee should be bent at a 90-degree angle, and your back leg should be straight.', 'Push through the heel of your front foot to raise your body back to the starting position.']",Dumbbells,Intermediate,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
196,Dumbbell Lateral Lunge Reach,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-lateral-lunge-reach-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-lateral-lunge-reach-side.mp4#t=0.1']","['Engage your core by drawing your belly button towards your spine. This will help to stabilize your body. Hold a dumbbell in a goblet position.', 'Take a large step to the side with your right foot and reach toward the floor with your single dumbbell.', 'As you step, bend your right knee and lower your hips until your right thigh is parallel to the ground. Your left leg should remain straight.', 'Push through your right heel to return to the starting position. Repeat on the opposite side by stepping out with your left foot.']",Dumbbells,Intermediate,Push,Overhand Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Lower back']}",,,
197,Dumbbell Reverse Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-reverse-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-reverse-lunge-side.mp4#t=0.1']","['Hold two dumbbells by your side.', 'Take a big step backwards with your left leg, lowering your body until your left thigh is parallel to the ground and your right knee is bent at a 90-degree angle.', 'Push through your right heel to return to standing, bringing your left leg back to starting position.', 'Repeat the movement on the other side, stepping backwards with your right leg and lowering your body until your right thigh is parallel to the ground and your left knee is bent at a 90-degree angle.']",Dumbbells,Beginner,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
198,Dumbbell Split Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-split-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-split-squat-side.mp4#t=0.1']","['Hold a dumbbell in a goblet position.', 'Take a large step forward with one leg, and lower your body until your back knee nearly touches the ground. Your front knee should be bent at a 90-degree angle, and your back leg should be straight.', 'Push through the heel of your front foot to raise your body back to the starting position.']",Dumbbells,Beginner,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
199,Dumbbell Front Rack Pause Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-front-rack-pause-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-front-rack-pause-squat-side.mp4#t=0.1']","['Place two dumbbells on your shoulders and make sure you force your elbows upward.', 'Push your hips back and break at the knees.', 'When you reach parallel (hamstrings parallel with the ground) pause for 1-3 seconds. Then push through your heels back to the starting position.']",Dumbbells,Advanced,Push,Neutral,"{'Primary': ['Quads', 'Lower back'], 'Secondary': ['Glutes']}",,,
200,Dumbbell Front Rack Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-front-rack-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-front-rack-squat-side.mp4#t=0.1']","['Place two dumbbells on your shoulders and push your elbows upward.', 'Push your hips back and break at the knees.', 'Hit parallel depth and then drive through your heels back to the starting position.']",Dumbbells,Intermediate,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
201,Dumbbell Goblet Pulse Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-pulse-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-pulse-squat-side.mp4#t=0.1']","['Hold a dumbbell in goblet position.', 'Squat down to parallel depth and then halfway back up.', 'Stay in this short range of motion for the duration of the set.']",Dumbbells,Beginner,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
202,Dumbbell Heels Up Goblet Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-heels-up-goblet-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-heels-up-goblet-squat-side.mp4#t=0.1']","['Take a half kneeling stance. The dumbbell should start over your knee that is up.', 'Rotate at the spine and point the dumbbell to the opposing side.']",Dumbbells,Beginner,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
203,Dumbbell Heels Up Narrow Goblet Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-heels-up-narrow-goblet-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-heels-up-narrow-goblet-squat-side.mp4#t=0.1']","['Stand with your feet on a plate. Your feet should be very close to one another, but not touching.', 'Begin your squat by pushing your hips back and breaking at the knees. Try to keep your chest tall while squatting.']",Dumbbells,Advanced,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
204,Dumbbell Leg Extension,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-leg-extension-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-leg-extension-side.mp4#t=0.1']","['Place a dumbbell between your feet. Lean back slightly and hold on to the bench.', 'Extend your knees until you feel your quads contract hard.']",Dumbbells,Beginner,Push,None,{'Primary': ['Quads']},,,
205,Dumbbell Offset Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-offset-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-offset-squat-side.mp4#t=0.1']","['Hold a dumbbell over one shoulder.', 'Initiate the squat by pushing your hips back.', 'Avoid doing any twisting. Try to keep your shoulders even.']",Dumbbells,Intermediate,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Obliques']}",,,
206,Dumbbell Sumo Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-sumo-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-sumo-squat-side.mp4#t=0.1']","['Start by standing with your feet wider than shoulder-width apart and holding a dumbbell in each hand.', 'Place the dumbbells on the ground between your feet.', 'From this starting position, bend your knees and lower your body down into a squat.', 'Make sure to keep your core engaged and your back straight throughout the movement.']",Dumbbells,Beginner,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes'], 'Tertiary': ['Lower back']}",,,
207,Dumbbell Thruster,"['https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-thruster-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-thruster-side.mp4#t=0.1']","['Start by standing with your feet shoulder-width apart and holding a dumbbell in each hand.', 'Bring the dumbbells to your shoulders, with your palms facing inward and your elbows bent.', 'From this starting position, dip your knees slightly and then quickly extend them as you press the dumbbells upwards.', 'As you press the dumbbells upwards, also push your hips forward to help generate additional power.', 'Slowly lower the dumbbells back down to the starting position, and repeat for the desired number of repetitions.']",Dumbbells,Intermediate,Push,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Shoulders'], 'Tertiary': ['Glutes']}",,,
208,Plate Squat,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-side.mp4#t=0.1']","['Stand with feet shoulder-width apart and hold a weight plate in front of your chest with both hands.', 'Keep your back straight, lower your body as if you were sitting back into a chair.', 'Go as low as you can while keeping your heels flat on the ground, then push through your heels to return to the starting position.']",Plate,Intermediate,Push,Neutral,{'Primary': ['Quads']},,,
209,Plate Squat Reach,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-reach-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-squat-reach-side.mp4#t=0.1']","['Stand holding a weight plate at chest height with both hands.', 'Lower into a squat, extending the plate in front of you at chest height', 'As you stand back up, pull the plate back into your chest.']",Plate,Advanced,Push,,"{'Primary': ['Quads', 'Triceps'], 'Secondary': ['Shoulders']}",,,
210,Plate Curtsy Lunge,"['https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curtsy-lunge-front.mp4#t=0.1', 'https://media.musclewiki.com/media/uploads/videos/branded/male-plate-curtsy-lunge-side.mp4#t=0.1']","['Stand with feet shoulder-width apart and the plate in front of the torso.', 'Step back and across the body with the right foot, bending both legs to lower into a lunge position.', 'Push through the front foot to return to the starting position.', 'Repeat on the other side by stepping back and across with the left foot.', 'Continue alternating sides for desired reps.']",Plate,Intermediate,,Neutral,"{'Primary': ['Quads'], 'Secondary': ['Glutes']}",,,
